TESEX,edtime,classdeg,classoth,exc,hw,reg,read,comp_games,working,caretaking,faminc,faminc_cat,race,race_num,GEREG,GESTFIPS,weekday,weekday_num,TUYEAR,TUMONTH,TESCHLVL,TUFINLWGT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,Black,3,3,40,Weekday,2,2003,1,1,5841484.052857
2,105.0,0.0,0.0,0.0,45.0,60.0,35.0,0.0,0.0,0.0,7.0,1.0,White,2,4,53,Weekday,2,2003,1,1,10230851.274479
1,240.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,290.0,4.0,1.0,White,2,2,26,Weekend,1,2003,1,1,1279117.317939
2,460.0,340.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,6,Weekday,2,2003,1,1,10127635.117857
1,630.0,400.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,Asian,5,4,6,Weekday,2,2003,1,1,6884007.412539
2,120.0,0.0,0.0,0.0,120.0,0.0,210.0,0.0,0.0,0.0,14.0,4.0,White,2,4,16,Weekday,2,2003,1,1,6499551.683577
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,Black,3,2,20,Weekday,2,2003,1,1,11133962.223886
2,188.0,170.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,3,22,Weekday,2,2003,1,2,9779947.863153
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,3,24,Weekend,1,2003,1,1,3058782.142755
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,White,2,1,25,Weekend,1,2003,1,2,2850237.292061
1,120.0,0.0,0.0,0.0,120.0,0.0,0.0,60.0,0.0,60.0,5.0,1.0,American Indian,4,3,28,Weekend,1,2003,1,1,1207907.963499
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,3.0,White,2,4,35,Weekend,1,2003,1,1,2156171.454139
1,505.0,445.0,0.0,0.0,60.0,0.0,0.0,0.0,120.0,0.0,13.0,3.0,White,2,3,37,Weekday,2,2003,1,1,4098104.635766
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Hispanic,1,3,48,Weekend,1,2003,1,1,2457898.460543
2,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.0,1.0,Hispanic,1,3,48,Weekday,2,2003,1,2,5367526.337102
1,120.0,0.0,0.0,0.0,120.0,0.0,0.0,180.0,0.0,0.0,8.0,2.0,White,2,2,55,Weekend,1,2003,1,1,2030757.350013
1,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,Hispanic,1,3,5,Weekday,2,2003,1,1,11162244.493134
1,405.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,Black,3,3,5,Weekday,2,2003,1,1,8210996.228594
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,6,Weekend,1,2003,1,2,7662148.417559
1,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,Hispanic,1,4,6,Weekday,2,2003,1,1,13843162.92481
1,505.0,445.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,4.0,1.0,Hispanic,1,4,6,Weekday,2,2003,1,1,7023060.245167
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,1.0,14.0,4.0,Asian,5,4,6,Weekend,1,2003,1,2,6182909.933196
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,18.0,13.0,3.0,Black,3,4,6,Weekday,2,2003,1,1,15038054.837615
1,654.0,450.0,0.0,144.0,60.0,0.0,0.0,60.0,0.0,0.0,13.0,3.0,Other,6,4,8,Weekday,2,2003,1,1,4302340.450302
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,Hispanic,1,3,12,Weekend,1,2003,1,2,1460883.566068
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,White,2,2,17,Weekend,1,2003,1,1,2179398.347179
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,White,2,2,19,Weekday,2,2003,1,2,6833887.346736
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,12.0,3.0,White,2,3,24,Weekend,1,2003,1,1,3479632.340488
2,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,20.0,13.0,3.0,White,2,3,24,Weekday,2,2003,1,2,5197709.035257
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,2,26,Weekend,1,2003,1,1,2072209.883307
1,406.0,346.0,0.0,0.0,60.0,0.0,0.0,0.0,45.0,0.0,,3.0,White,2,4,32,Weekday,2,2003,1,1,3815874.905736
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,11.0,3.0,White,2,1,34,Weekday,2,2003,1,2,9159199.653956
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,White,2,1,36,Weekend,1,2003,1,1,1957964.46006
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.0,White,2,1,36,Weekend,1,2003,1,1,1971561.435477
2,425.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,White,2,3,37,Weekday,2,2003,1,1,5296521.906591
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,9.0,2.0,White,2,2,39,Weekday,2,2003,1,1,3062968.87619
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Other,6,2,39,Weekend,1,2003,1,2,1497546.318142
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,Black,3,3,45,Weekend,1,2003,1,2,1716160.945023
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,8.0,2.0,Hispanic,1,3,48,Weekday,2,2003,1,2,7709452.581723
1,550.0,435.0,10.0,0.0,75.0,30.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,49,Weekday,2,2003,1,2,12175824.184264
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,White,2,3,51,Weekend,1,2003,1,1,2779799.227988
1,900.0,660.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,3,51,Weekday,2,2003,1,1,4298665.587644
1,690.0,495.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,Other,6,4,53,Weekday,2,2003,1,2,3792373.23919
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,12.0,3.0,Asian,5,2,17,Weekend,1,2003,1,2,2853433.26523
1,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,Black,3,3,1,Weekday,2,2003,1,1,8148041.325558
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,2.0,Hispanic,1,4,4,Weekend,1,2003,1,2,2376906.522541
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,White,2,4,4,Weekend,1,2003,1,1,3572783.641379
1,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,4,Weekday,2,2003,1,2,7437736.041985
2,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,11.0,3.0,White,2,3,5,Weekday,2,2003,1,1,4463316.639903
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,White,2,4,6,Weekday,2,2003,1,1,8257958.218541
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,12.0,3.0,Hispanic,1,4,6,Weekday,2,2003,1,1,13822198.415177
